Record,Date,UTC Time,Sys OK,Norm Run,Hyg Run,CsRsp,CsHsp,FsRsp,FsHsp,Cent curr,Cent Spd,Cent fault,Cent alrm,F cur,F Spd,F fault,F alrm,Cent Vib,Emrg stop Pan,Emrg stop RC1,HT,Fire,ClDV,OpDV,DVSCl,DVSOp,LCint,LCext
      6205, 4/25/2014,12:55:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6204, 4/25/2014,12:52:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6203, 4/25/2014,12:49:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6202, 4/25/2014,12:46:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6201, 4/25/2014,12:43:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6200, 4/25/2014,12:40:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6199, 4/25/2014,12:37:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6198, 4/25/2014,12:34:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6197, 4/25/2014,12:31:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6196, 4/25/2014,12:28:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6195, 4/25/2014,12:25:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6194, 4/25/2014,12:22:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6193, 4/25/2014,12:19:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6192, 4/25/2014,12:16:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6191, 4/25/2014,12:13:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6190, 4/25/2014,12:10:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6189, 4/25/2014,12:07:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6188, 4/25/2014,12:04:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6187, 4/25/2014,12:01:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6186, 4/25/2014,11:58:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6185, 4/25/2014,11:55:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6184, 4/25/2014,11:52:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6183, 4/25/2014,11:49:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6182, 4/25/2014,11:46:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
      6181, 4/25/2014,11:43:42,0,0,0,     0,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,     0,     0,     0,   0.000000E+00,0,0,0,0,0,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000
